Title,Content,Slug,Parent,Thumbnail,Menu order,Term Slug,Website
"Теплица социальных технологий","«Теплица социальных технологий» — это общественный образовательный проект, направленный на развитие сотрудничества между некоммерческим сектором и IT-специалистами.",te-st,,https://ngo2.ru/kandinsky-files/org-001.png,0,partners,https://te-st.ru/
"«КАФ»","Фонд поддержки и развития филантропии",kaf,,https://ngo2.ru/kandinsky-files/org-002.jpg,0,partners,http://www.cafrussia.ru/
"Правительство Новгородской области","Правительство Новгородской области",novgorod-government,,https://ngo2.ru/kandinsky-files/org-003.jpg,0,partners,http://www.novreg.ru
"Администрация Великого Новгорода","Адрес: Большая Власьевская ул., д. 4, тел: (8162) 983-401",novgorod-admin,,https://ngo2.ru/kandinsky-files/org-004.jpg,0,partners,http://www.adm.nov.ru/
"Департамент труда и социальной защиты населения Новгородской области","173001 Великий Новгород, ул. Великая, д. 8",novgorod-soczashita,,https://ngo2.ru/kandinsky-files/org-005.jpg,0,partners,http://sockomitet-nov.ru/
